IdPoi,nombre,localizacion,fbd,IdPueblo,IdUsuario,etiquetas
1,Fuente del lugar,0xE6100000010CA0C552245F5919C0965D30B8E6EC4440,2012-02-07 12:06:24.767,35,1,fuentes
2,Fuente la rebotina,0xE6100000010C72DC291DAC5F19C01ABFF04A92ED4440,2012-02-07 12:07:02.423,35,1,fuentes
3,Cantera de pizarra,0xE6100000010C1AC39CA04DBE19C06ADC9BDF30F34440,2012-02-07 12:07:44.403,17,1,"industria,canteras"
4,Peña mira,0xE6100000010CCB2DAD86C4DD19C0D95F764F1EF64440,2012-02-07 12:10:15.020,17,1,"montañas,picos,sierra de la culebra"
5,Negrillico centenario,0xE6100000010CADBF2500FF9418C0F52B9D0FCFE64440,2012-02-07 12:46:12.130,1,791,NULL
6,Fuenta La Fidionda,0xE6100000010CF2E9B12D031E19C02A1900AAB8E34440,2012-02-07 13:41:39.587,24,NULL,"Fuente "
8,La Ferrada,0xE6100000010C2920ED7F80D518C07E00529B38DB4440,2012-02-07 13:42:23.720,27,7830,las minas
9,Torre del Reloj,0xE6100000010CF8DF4A766C6419C0B3B5BE4868D94440,2012-02-07 13:48:35.527,2,NULL,monumento
10,Cañico de arriba,0xE6100000010C45BB0A293F6919C05DBF60376CD94440,2012-02-07 13:50:44.663,2,NULL,"Monumento, fuente"
11,Cañico de abajo,0xE6100000010C0EA14ACD1E6819C0492D944C4ED94440,2012-02-07 13:53:04.453,2,NULL,"monumento, fuente"
12,Fuente del Ferradal,0xE6100000010CA52DAEF1995C19C015AB06616EEB4440,2012-02-07 16:04:36.333,35,1,fuentes
13,Fuente la Aldea,0xE6100000010CAE4A22FB20CB19C054A703594FEF4440,2012-02-07 16:05:13.103,16,1,fuentes
14,Nacimiento Río Aliste,0xE6100000010CF5673F52448619C0C6C1A563CEF34440,2012-02-07 16:07:33.050,48,1,"fuentes,rios"
15,Fuente de la ribera,0xE6100000010C31EF71A6093B19C0D4D7F335CBDD4440,2012-02-07 18:27:54.767,57,NULL,"fuente, Ufones, ribera"
16,Iglesia de Ufones,0xE6100000010CD90A9A96583919C0F6B3588AE4DD4440,2012-02-07 18:29:43.403,57,NULL,iglesia
17,Frontón,0xE6100000010CF641960513FF18C0F4531C075EE74440,2012-02-07 19:04:50.710,49,1,"fronton,deporte,polideportivo"
18,Ribera,0xE6100000010C1A6CEA3C2A7E19C07F33315D88DB4440,2012-02-07 22:07:38.487,3,8322,Arroyo y paisaje
19,Fuente Herrada,0xE6100000010C57790261A76819C02639605793D94440,2012-02-08 00:43:59.567,2,107,"Fuente, parque"
20,Fuente los Caños,0xE6100000010CA7EA1ED95C6519C0C3F352B131D94440,2012-02-08 00:46:12.040,2,107,Fuente
21,Fuente los burros,0xE6100000010C4F0647C9AB6319C00B0E2F8848D94440,2012-02-08 00:47:59.400,2,107,Fuente
22,"Antiguo molino de ""D. Alonso"" en el limite de la ribera con S. Martino(Portugal), ",0xE6100000010C9163EB19C25119C0BFD18E1B7ED54440,2012-02-08 06:13:06.360,2,NULL,NULL
23,Fuente La Quinta,0xE6100000010C5DC2A1B7786819C09F1C058882D94440,2012-02-08 13:39:10.060,2,107,Fuentes
24,Ermita Santa Catalina,0xE6100000010CF20C1AFA274819C01E53776517DC4440,2012-02-08 13:53:30.473,29,107,"Ermita, monumento"
25,Fuente de El Chaparí,0xE6100000010CF9307BD976CA19C0742497FF90EE4440,2012-02-08 16:27:27.793,15,19771,fuente
26,Iglesia de Santiago Apóstol,0xE6100000010C936FB6B931CD19C0780AB952CFEE4440,2012-02-08 16:28:32.423,15,19771,"iglesias, monumentos"
